datetime,hour,day_of_week,traffic_volume
2024-01-01 06:00,6,Monday,180
2024-01-01 07:00,7,Monday,320
2024-01-01 08:00,8,Monday,350
2024-01-01 09:00,9,Monday,310
2024-01-01 10:00,10,Monday,220
2024-01-01 16:00,16,Monday,360
2024-01-01 17:00,17,Monday,390
2024-01-01 18:00,18,Monday,370
2024-01-01 19:00,19,Monday,240
2024-01-02 06:00,6,Tuesday,170
2024-01-02 07:00,7,Tuesday,310
2024-01-02 08:00,8,Tuesday,340
2024-01-02 09:00,9,Tuesday,300
2024-01-02 16:00,16,Tuesday,350
2024-01-02 17:00,17,Tuesday,380
2024-01-02 18:00,18,Tuesday,360
2024-01-03 06:00,6,Wednesday,175
2024-01-03 07:00,7,Wednesday,325
2024-01-03 08:00,8,Wednesday,355
2024-01-03 09:00,9,Wednesday,315
2024-01-03 16:00,16,Wednesday,365
2024-01-03 17:00,17,Wednesday,395
2024-01-03 18:00,18,Wednesday,375
2024-01-04 06:00,6,Thursday,165
2024-01-04 07:00,7,Thursday,305
2024-01-04 08:00,8,Thursday,335
2024-01-04 09:00,9,Thursday,295
2024-01-04 16:00,16,Thursday,345
2024-01-04 17:00,17,Thursday,375
2024-01-04 18:00,18,Thursday,355